Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Index,International Securities Identification Number
360ONE,360 ONE WAM LTD,942.75,INR,1.7429311461256183,4892340,3.764281269216352,369842052269,INR,35.62925170068027,26.46,INR,34.99999999999999,1.54050464807437,Finance,Buy,"Nifty 500, Nifty SmallCap 100, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty SmallCap 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE466L01038
3MINDIA,3M INDIA LTD,28528.6,INR,1.9880239520958032,7877,1.6423418539677246,323974391237,INR,55.6448773675346,512.6905,INR,5.723506975777389,0.556343709143509,Producer manufacturing,Strong buy,"Nifty 500, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty MNC, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty LargeMidCap 250",INE470A01017
AADHARHFC,AADHAR HOUSING FINANCE L,417.45,INR,-2.896022330774596,6158771,9.901389172020806,182152088425,INR,20.737704918032787,20.13,INR,,0,Finance,Strong buy,"Nifty 500, Nifty SmallCap 100, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE883F01010
AARTIDRUGS,AARTI DRUGS LTD.,357.9,INR,2.948367611103121,193045,0.9964728952868528,32651841299,INR,21.486075174247926,16.6573,INR,-14.592402311403713,0.279524807826695,Health technology,Buy,"Nifty MicroCap 250, Nifty Total Market",INE767A01016
AARTIIND,AARTI INDUSTRIES LTD,407.25,INR,2.0037570444583594,1851839,1.8237571521230413,147618106671,INR,40.22659251869339,10.1239,INR,-15.438971626170408,0.245579567779961,Process industries,Neutral,"Nifty 500, Nifty SmallCap 100, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty SmallCap 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE769A01020
AARTIPHARM,AARTI PHARMALABS LTD,761.1,INR,-0.9951219512195093,1592489,3.12300018747936,69043425718.5,INR,27.67334472602989,27.503,INR,28.1354826686545,0.459408019951434,Health technology,,"Nifty MicroCap 250, Nifty Total Market",INE0LRU01027
AAVAS,AAVAS FINANCIERS LTD,1981.05,INR,0.053030303030300735,189226,0.18792413675024897,156906859086,INR,,,,,0,Finance,Buy,"Nifty 500, Nifty SmallCap 100, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE216P01012
ABB,ABB INDIA LTD,5457.5,INR,-0.05860054571757866,685475,1.5919299330203873,1156468723047,INR,61.794235104560485,88.3173,INR,50.67971733040336,0.631436215047459,Producer manufacturing,Buy,"Nifty 500, Nifty Next 50, Nifty 200, Nifty Energy, Nifty MNC, Nifty 100, Nifty Alpha 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Manufacturing, Nifty LargeMidCap 250",INE117A01022
ABBOTINDIA,ABBOTT INDIA LTD,30292.1,INR,0.37359982902216254,7752,0.7316382581120109,643117551273,INR,48.23568977031594,628.0018,INR,16.48771262192686,1.35468448241966,Health technology,Buy,"Nifty 500, Nifty Pharma, Nifty Healthcare, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty MNC, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty LargeMidCap 250",INE358A01014
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,185.52,INR,4.943998189840485,13679696,2.829039085387736,483956900300,INR,13.129511677282379,14.13,INR,32.5515947467167,0,Finance,Strong buy,"Nifty 500, Nifty 200, Nifty MidCap 100, Nifty MidCap 50, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty LargeMidCap 250",INE674K01013
ABFRL,ADITYA BIRLA FASHION & RT,253.26,INR,1.01711140361373,5750726,2.766897571605726,307342052908,INR,,-6.2493,INR,-0.7967870449523289,0,Retail trade,Neutral,"Nifty 500, Nifty 200, Nifty MidCap 100, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty LargeMidCap 250",INE647O01011
